compound_id,mean
75150,-0.00525116003749991
75274,-598.3059062500001
75409,-14.30492678074997
81378,-525.3201122499999
82768,-219.3328085000002
88364,-339.8934350000013
88414,-2672.9459349999993
116484,-1760.8601399999964
120404,27.235510689999998
122520,-655.4924709999982
125172,-1760.0772624999966
128996,360.6462507500003
130512,243.75356599999984
131778,289.52581499999957
131807,-3533.9387649999985
132889,-797.6361764999998
134910,-76.90131237499995
134961,-36.54120210000005
134963,-46.453718424999906
473252,-31.75548794999992
557745,-317.65472024999997
691160,-775.0745745000021
691168,-2418.0319949999907
691174,-962.995966750001
691207,-1152.7144174999987
691214,-258.6786482499996
691217,-506.7728840000006
691273,-1442.3668875000028
691343,-444.9506107499993
691406,-2588.5611700000004
691491,-2588.9954074999973
694312,-259.94345600000037
694313,-261.5667575000001
694314,-280.73610650000023
694315,-275.3523107499996
694316,-203.00143524999973
694317,-144.08238325000025
694318,-215.29441949999966
694319,-423.35125575000023
694320,-236.46836549999975
694321,-37.46327342500004
694322,77.46587747500014
694323,-2201.3691925000066
694324,-2182.2657574999994
